Herbeumont|49.7815364|5.2377736|1627
Lovendegem|51.0956807|3.6076129|9574
Jabbeke|51.1846386|3.0902954|13880
Torhout|51.0585915|3.0913072|20530
Héron|50.5508203|5.0971783|5277
Tremelo|50.9919047|4.7040582|14842
Bertogne|50.0842908|5.6675577|3579
Drogenbos|50.786532|4.3173542|5599
Deerlijk|50.8387849|3.362279|11796
Beerse|51.3134921|4.8375704|17931
Perwijs (Nijvel)|50.6234469|4.8134719|9291
Marche-en-Famenne|50.2240814|5.3428796|17455
Oudenburg|51.2011831|3.006109|9300
Bilzen|50.8713356|5.5163011|32318
Assenede|51.2275942|3.7532864|14200
Anzegem|50.844003|3.4637346|14609
Kruishoutem|50.904773|3.5283139|8086
Honnelles|50.352089|3.731019|5139
Kortessem|50.8600026|5.3865719|8446
Bocholt|51.1924818|5.5995582|13085
Vaux-sur-Sûre|49.9122548|5.5678013|5651
Bree|51.1386239|5.6229805|16005
Plombières|50.7374801|5.9590725|10401
Dentergem|50.966125|3.4022937|8484
Gembloux|50.5605492|4.6921459|25933
Ouffet|50.4377341|5.4653273|2802
Ardooie|50.9797876|3.1974259|8988
Modave|50.4416137|5.3017936|4200
Knokke-Heist|51.3396066|3.2702133|33097
Oud-Turnhout|51.3178319|4.9817086|13517
Dison|50.611374|5.854735|15405
La Roche-en-Ardenne|50.1815604|5.5759476|4194
Schelle|51.1245635|4.3361875|8433
Haacht|50.9769286|4.6386824|14470
Keerbergen|51.0049242|4.6265551|12743
Hastière|50.1973562|4.8225542|5979
Vresse-sur-Semois|49.8729769|4.9340633|2641
Harelbeke|50.8561192|3.3108957|27886
Hemiksem|51.1442105|4.3420555|11368
Diest|50.9845121|5.0503333|23824
Sint-Katelijne-Waver|51.0699542|4.532238|20870
Ham-sur-Heure-Nalinnes|50.3171621|4.3803219|13529
Bitsingen|50.7583596|5.6094772|8986
Ganshoren|50.8712396|4.3175103|24865
Koekelberg|50.8622633|4.3257084|21774
Borgworm|50.6976875|5.2546191|15168
Lens|50.5570816|3.9005461|4508
Welkenraedt|50.6627086|5.9723396|9920
Putte|51.0570823|4.6310473|17584
Zinnik|50.5775309|4.0732968|27603
Erpe-Mere|50.9226391|3.9459888|19857
Zemst|50.9842166|4.4650814|23325
Borgloon|50.8004351|5.3569929|10697
Neerpelt|51.2289746|5.4314419|17174
Kortemark|51.0285109|3.0441178|12584
Mechelen|51.0281381|4.4803453|86304
Onhaye|50.2435657|4.840864|3201
Pepinster|50.5675217|5.8037101|9765
Overijse|50.7729254|4.5385226|25169
Sint-Truiden|50.8152784|5.1858896|40473
Kampenhout|50.949244|4.5711631|11898
Seraing|50.5966392|5.5083375|64270
Merelbeke|50.9942924|3.7459119|24634
Herstal|50.6701887|5.6403906|39958
Hechtel-Eksel|51.1340192|5.3780119|12290
Tessenderlo|51.0681628|5.0893974|18514
Sprimont|50.502407|5.6633583|14645
Voeren|50.7465898|5.8390527|4160
Edegem|51.1548066|4.4458312|21947
Pecq|50.685616|3.3407492|5598
Lijsem|50.711613|5.0318166|3292
Oostrozebeke|50.9343454|3.3468206|7849
Burg-Reuland|50.196362|6.1349369|3956
Tinlot|50.4777419|5.3786954|2709
Manage|50.5040159|4.2355599|23122
Buggenhout|51.01131|4.1927964|14475
Jurbeke|50.5325067|3.9113179|10417
Rebecq|50.6645894|4.1355466|11006
Boutersem|50.8473461|4.8336178|8167
Herent|50.9079329|4.672714|21632
Berlare|51.0301606|4.011347|14849
Floreffe|50.4348064|4.758878|8114
Florennes|50.2514227|4.6030187|11410
Beveren (Sint-Niklaas)|51.21187|4.25633|48192
Verviers|50.5932274|5.8638544|55198
Clavier|50.4115085|5.3575692|4617
Quaregnon|50.4421804|3.8636971|19006
Spa|50.4920838|5.8626233|10378
Herk-de-Stad|50.9222911|5.1884302|12661
Sankt Vith|50.2803881|6.1258953|9682
Rendeux|50.2330466|5.5043243|2582
Verlaine|50.6075114|5.3184439|4177
Limburg|50.6122761|5.9402987|5939
La Bruyère|50.5356297|4.8275933|9226
Sint-Gillis|51.2180687|4.1233014|50002
Andenne|50.4900943|5.1043923|27017
Brecht|51.3495582|4.6393435|29010
Malmedy|50.4239904|6.0266001|12654
Hamme (Dendermonde)|51.09822|4.13705|24829
Flémalle|50.6022808|5.4580872|26174
Bevekom|50.7810287|4.7716774|7222
Vorselaar|51.2023448|4.769482|7848
Eeklo|51.1844827|3.5665965|20890
Lommel|51.2305657|5.3076895|34044
Raeren|50.6761305|6.1108404|10707
Chastre|50.6080835|4.636678|7592
Thuin|50.3397445|4.2870475|14671
Engis|50.582433|5.4043113|6122
