"GRD_FIXID","GRD_FLOAID","GRD_NEWID","SHAPE_Leng","SHAPE_Area","TOT_P","TOT_F","TOT_M"
"4.0.38020000.31220000","3802.3122.4","1kmN3122E3802","3237,44036113","572862,76572",0,0,0
"4.0.38020000.31230000","3802.3123.4","1kmN3123E3802","4104,73987743","748394,638749",0,0,0
"4.0.38020000.31240000","3802.3124.4","1kmN3124E3802",4000,1000000,33,18,15
"4.0.38020000.31250000","3802.3125.4","1kmN3125E3802",4000,1000000,18,9,9
"4.0.38020000.31260000","3802.3126.4","1kmN3126E3802",4000,1000000,54,23,31
"4.0.38020000.31270000","3802.3127.4","1kmN3127E3802",4000,1000000,7,5,2
"4.0.38020000.31280000","3802.3128.4","1kmN3128E3802",4000,1000000,4,2,2
"4.0.38020000.31290000","3802.3129.4","1kmN3129E3802",4000,1000000,10,5,5
"4.0.38020000.31300000","3802.3130.4","1kmN3130E3802",4000,1000000,0,0,0
"4.0.38020000.31310000","3802.3131.4","1kmN3131E3802",4000,1000000,14,6,8
"4.0.38020000.31320000","3802.3132.4","1kmN3132E3802",4000,1000000,583,290,293
"4.0.38020000.31330000","3802.3133.4","1kmN3133E3802",4000,1000000,241,119,122
"4.0.38020000.31340000","3802.3134.4","1kmN3134E3802",4000,1000000,95,48,47
"4.0.38020000.31350000","3802.3135.4","1kmN3135E3802",4000,1000000,1756,947,809
"4.0.38020000.31360000","3802.3136.4","1kmN3136E3802","3812,19293602","934567,017145",992,500,492
"4.0.38020000.31370000","3802.3137.4","1kmN3137E3802","1116,30892386","39696,7120296",0,0,0
"4.0.38030000.31030000","3803.3103.4","1kmN3103E3803","3004,20902535","501158,55",0,0,0
"4.0.38030000.31040000","3803.3104.4","1kmN3104E3803",4000,1000000,26,11,15
"4.0.38030000.31050000","3803.3105.4","1kmN3105E3803",4000,1000000,32,15,17
"4.0.38030000.31060000","3803.3106.4","1kmN3106E3803",4000,1000000,24,10,14
"4.0.38030000.31070000","3803.3107.4","1kmN3107E3803",4000,1000000,18,7,11
"4.0.38030000.31080000","3803.3108.4","1kmN3108E3803",4000,1000000,18,6,12
"4.0.38030000.31090000","3803.3109.4","1kmN3109E3803",4000,1000000,50,25,25
"4.0.38030000.31100000","3803.3110.4","1kmN3110E3803",4000,1000000,10,4,6
"4.0.38030000.31110000","3803.3111.4","1kmN3111E3803",4000,1000000,22,11,11
"4.0.38030000.31120000","3803.3112.4","1kmN3112E3803",4000,1000000,23,10,13
"4.0.38030000.31130000","3803.3113.4","1kmN3113E3803",4000,1000000,43,21,22
"4.0.38030000.31140000","3803.3114.4","1kmN3114E3803",4000,1000000,73,33,40
"4.0.38030000.31150000","3803.3115.4","1kmN3115E3803",4000,1000000,562,262,300
"4.0.38030000.31160000","3803.3116.4","1kmN3116E3803",4000,1000000,158,81,77
"4.0.38030000.31170000","3803.3117.4","1kmN3117E3803",4000,1000000,27,13,14
"4.0.38030000.31180000","3803.3118.4","1kmN3118E3803","3955,21919275","944522,121152",5,2,3
"4.0.38030000.31190000","3803.3119.4","1kmN3119E3803","3103,71547718","540413,80609",3,1,2
"4.0.38030000.31200000","3803.3120.4","1kmN3120E3803","3676,05698242","825750,445544",1,0,1
"4.0.38030000.31210000","3803.3121.4","1kmN3121E3803","3963,87210016","995499,541016",12,4,8
