"GRD_FIXID","GRD_FLOAID","GRD_NEWID","SHAPE_Leng","SHAPE_Area","TOT_P","TOT_F","TOT_M"
"4.0.38710000.30680000","3871.3068.4","1kmN3068E3871",4000,1000000,0,0,0
"4.0.38710000.30690000","3871.3069.4","1kmN3069E3871",4000,1000000,92,46,46
"4.0.38710000.30700000","3871.3070.4","1kmN3070E3871",4000,1000000,562,289,273
"4.0.38710000.30710000","3871.3071.4","1kmN3071E3871",4000,1000000,53,25,28
"4.0.38710000.30720000","3871.3072.4","1kmN3072E3871",4000,1000000,2,1,1
"4.0.38710000.30730000","3871.3073.4","1kmN3073E3871",4000,1000000,32,13,19
"4.0.38710000.30740000","3871.3074.4","1kmN3074E3871",4000,1000000,114,56,58
"4.0.38710000.30750000","3871.3075.4","1kmN3075E3871",4000,1000000,132,71,61
"4.0.38710000.30760000","3871.3076.4","1kmN3076E3871",4000,1000000,255,131,124
"4.0.38710000.30770000","3871.3077.4","1kmN3077E3871",4000,1000000,19,8,11
"4.0.38710000.30780000","3871.3078.4","1kmN3078E3871",4000,1000000,26,12,14
"4.0.38710000.30790000","3871.3079.4","1kmN3079E3871",4000,1000000,198,100,98
"4.0.38710000.30800000","3871.3080.4","1kmN3080E3871",4000,1000000,40,16,24
"4.0.38710000.30810000","3871.3081.4","1kmN3081E3871",4000,1000000,300,149,151
"4.0.38710000.30820000","3871.3082.4","1kmN3082E3871",4000,1000000,41,20,21
"4.0.38710000.30830000","3871.3083.4","1kmN3083E3871",4000,1000000,94,45,49
"4.0.38710000.30840000","3871.3084.4","1kmN3084E3871",4000,1000000,46,22,24
"4.0.38710000.30850000","3871.3085.4","1kmN3085E3871",4000,1000000,61,32,29
"4.0.38710000.30860000","3871.3086.4","1kmN3086E3871",4000,1000000,165,76,89
"4.0.38710000.30870000","3871.3087.4","1kmN3087E3871",4000,1000000,82,41,41
"4.0.38710000.30880000","3871.3088.4","1kmN3088E3871",4000,1000000,213,112,101
"4.0.38710000.30890000","3871.3089.4","1kmN3089E3871",4000,1000000,1374,699,675
"4.0.38710000.30900000","3871.3090.4","1kmN3090E3871",4000,1000000,2012,1025,987
"4.0.38710000.30910000","3871.3091.4","1kmN3091E3871",4000,1000000,446,222,224
"4.0.38710000.30920000","3871.3092.4","1kmN3092E3871",4000,1000000,171,86,85
"4.0.38710000.30930000","3871.3093.4","1kmN3093E3871",4000,1000000,79,39,40
"4.0.38710000.30940000","3871.3094.4","1kmN3094E3871",4000,1000000,60,28,32
"4.0.38710000.30950000","3871.3095.4","1kmN3095E3871",4000,1000000,144,69,75
"4.0.38710000.30960000","3871.3096.4","1kmN3096E3871",4000,1000000,170,81,89
"4.0.38710000.30970000","3871.3097.4","1kmN3097E3871",4000,1000000,78,38,40
"4.0.38710000.30980000","3871.3098.4","1kmN3098E3871",4000,1000000,150,81,69
"4.0.38710000.30990000","3871.3099.4","1kmN3099E3871",4000,1000000,850,441,409
"4.0.38710000.31000000","3871.3100.4","1kmN3100E3871",4000,1000000,2392,1192,1200
"4.0.38710000.31010000","3871.3101.4","1kmN3101E3871",4000,1000000,3145,1683,1462
"4.0.38710000.31020000","3871.3102.4","1kmN3102E3871",4000,1000000,1611,827,784
"4.0.38710000.31030000","3871.3103.4","1kmN3103E3871",4000,1000000,529,265,264
"4.0.38710000.31040000","3871.3104.4","1kmN3104E3871",4000,1000000,255,127,128
"4.0.38710000.31050000","3871.3105.4","1kmN3105E3871",4000,1000000,114,58,56
"4.0.38710000.31060000","3871.3106.4","1kmN3106E3871",4000,1000000,296,145,151
"4.0.38710000.31070000","3871.3107.4","1kmN3107E3871",4000,1000000,72,38,34
"4.0.38710000.31080000","3871.3108.4","1kmN3108E3871",4000,1000000,678,343,335
"4.0.38710000.31090000","3871.3109.4","1kmN3109E3871",4000,1000000,388,191,197
"4.0.38710000.31100000","3871.3110.4","1kmN3110E3871",4000,1000000,60,32,28
"4.0.38710000.31110000","3871.3111.4","1kmN3111E3871",4000,1000000,107,57,50
"4.0.38710000.31120000","3871.3112.4","1kmN3112E3871",4000,1000000,244,126,118
"4.0.38710000.31130000","3871.3113.4","1kmN3113E3871",4000,1000000,1115,561,554
"4.0.38710000.31140000","3871.3114.4","1kmN3114E3871",4000,1000000,630,337,293
"4.0.38710000.31150000","3871.3115.4","1kmN3115E3871",4000,1000000,93,45,48
"4.0.38710000.31160000","3871.3116.4","1kmN3116E3871",4000,1000000,424,207,217
"4.0.38710000.31170000","3871.3117.4","1kmN3117E3871",4000,1000000,295,140,155
"4.0.38710000.31180000","3871.3118.4","1kmN3118E3871",4000,1000000,3,2,1
"4.0.38710000.31190000","3871.3119.4","1kmN3119E3871",4000,1000000,663,312,351
"4.0.38710000.31200000","3871.3120.4","1kmN3120E3871",4000,1000000,688,351,337
"4.0.38710000.31210000","3871.3121.4","1kmN3121E3871",4000,1000000,46,22,24
"4.0.38710000.31220000","3871.3122.4","1kmN3122E3871",4000,1000000,55,24,31
"4.0.38710000.31230000","3871.3123.4","1kmN3123E3871",4000,1000000,8,4,4
"4.0.38710000.31240000","3871.3124.4","1kmN3124E3871",4000,1000000,1392,708,684
"4.0.38710000.31250000","3871.3125.4","1kmN3125E3871",4000,1000000,744,383,361
"4.0.38710000.31260000","3871.3126.4","1kmN3126E3871",4000,1000000,592,295,297
"4.0.38710000.31270000","3871.3127.4","1kmN3127E3871",4000,1000000,686,354,332
"4.0.38710000.31280000","3871.3128.4","1kmN3128E3871",4000,1000000,132,61,71
"4.0.38710000.31290000","3871.3129.4","1kmN3129E3871",4000,1000000,213,111,102
"4.0.38710000.31300000","3871.3130.4","1kmN3130E3871",4000,1000000,110,58,52
"4.0.38710000.31310000","3871.3131.4","1kmN3131E3871",4000,1000000,1271,718,553
"4.0.38710000.31320000","3871.3132.4","1kmN3132E3871",4000,1000000,318,169,149
"4.0.38710000.31330000","3871.3133.4","1kmN3133E3871",4000,1000000,24,11,13
"4.0.38710000.31340000","3871.3134.4","1kmN3134E3871",4000,1000000,41,20,21
"4.0.38710000.31350000","3871.3135.4","1kmN3135E3871",4000,1000000,12,5,7
"4.0.38710000.31360000","3871.3136.4","1kmN3136E3871",4000,1000000,0,0,0
"4.0.38710000.31370000","3871.3137.4","1kmN3137E3871",4000,1000000,15,6,9
"4.0.38710000.31380000","3871.3138.4","1kmN3138E3871",4000,1000000,2163,1130,1033
"4.0.38710000.31390000","3871.3139.4","1kmN3139E3871",4000,1000000,3797,2034,1763
"4.0.38710000.31400000","3871.3140.4","1kmN3140E3871",4000,1000000,167,81,86
"4.0.38710000.31410000","3871.3141.4","1kmN3141E3871",4000,1000000,0,0,0
"4.0.38710000.31420000","3871.3142.4","1kmN3142E3871",4000,1000000,56,28,28
"4.0.38710000.31430000","3871.3143.4","1kmN3143E3871",4000,1000000,37,20,17
"4.0.38710000.31440000","3871.3144.4","1kmN3144E3871",4000,1000000,80,39,41
"4.0.38710000.31450000","3871.3145.4","1kmN3145E3871",4000,1000000,85,44,41
"4.0.38710000.31460000","3871.3146.4","1kmN3146E3871",4000,1000000,45,17,28
"4.0.38710000.31470000","3871.3147.4","1kmN3147E3871",4000,1000000,12,7,5
"4.0.38710000.31480000","3871.3148.4","1kmN3148E3871",4000,1000000,2,1,1
"4.0.38710000.31490000","3871.3149.4","1kmN3149E3871",4000,1000000,261,133,128
"4.0.38710000.31500000","3871.3150.4","1kmN3150E3871",4000,1000000,71,34,37
"4.0.38710000.31510000","3871.3151.4","1kmN3151E3871","3200,54901624","496444,143001",0,0,0
"4.0.38720000.30400000","3872.3040.4","1kmN3040E3872","1936,86656038","135525,781573",0,0,0
"4.0.38720000.30410000","3872.3041.4","1kmN3041E3872","3719,61272762","888291,500019",1,0,1
"4.0.38720000.30420000","3872.3042.4","1kmN3042E3872",4000,1000000,2,2,0
"4.0.38720000.30430000","3872.3043.4","1kmN3043E3872",4000,1000000,436,214,222
"4.0.38720000.30440000","3872.3044.4","1kmN3044E3872",4000,1000000,82,47,35
"4.0.38720000.30450000","3872.3045.4","1kmN3045E3872",4000,1000000,220,118,102
"4.0.38720000.30460000","3872.3046.4","1kmN3046E3872",4000,1000000,163,86,77
"4.0.38720000.30470000","3872.3047.4","1kmN3047E3872",4000,1000000,290,156,134
"4.0.38720000.30480000","3872.3048.4","1kmN3048E3872",4000,1000000,39,17,22
"4.0.38720000.30490000","3872.3049.4","1kmN3049E3872",4000,1000000,31,19,12
"4.0.38720000.30500000","3872.3050.4","1kmN3050E3872",4000,1000000,105,58,47
"4.0.38720000.30510000","3872.3051.4","1kmN3051E3872",4000,1000000,1848,981,867
"4.0.38720000.30520000","3872.3052.4","1kmN3052E3872",4000,1000000,1907,971,936
"4.0.38720000.30530000","3872.3053.4","1kmN3053E3872",4000,1000000,191,92,99
"4.0.38720000.30540000","3872.3054.4","1kmN3054E3872",4000,1000000,1208,649,559
"4.0.38720000.30550000","3872.3055.4","1kmN3055E3872",4000,1000000,562,290,272
"4.0.38720000.30560000","3872.3056.4","1kmN3056E3872",4000,1000000,4,2,2
"4.0.38720000.30570000","3872.3057.4","1kmN3057E3872",4000,1000000,0,0,0
"4.0.38720000.30580000","3872.3058.4","1kmN3058E3872",4000,1000000,4,2,2
"4.0.38720000.30590000","3872.3059.4","1kmN3059E3872",4000,1000000,85,53,32
"4.0.38720000.30600000","3872.3060.4","1kmN3060E3872",4000,1000000,439,231,208
"4.0.38720000.30610000","3872.3061.4","1kmN3061E3872",4000,1000000,529,256,273
"4.0.38720000.30620000","3872.3062.4","1kmN3062E3872",4000,1000000,1046,529,517
"4.0.38720000.30630000","3872.3063.4","1kmN3063E3872",4000,1000000,305,162,143
"4.0.38720000.30640000","3872.3064.4","1kmN3064E3872",4000,1000000,520,270,250
"4.0.38720000.30650000","3872.3065.4","1kmN3065E3872",4000,1000000,63,31,32
"4.0.38720000.30660000","3872.3066.4","1kmN3066E3872",4000,1000000,0,0,0
"4.0.38720000.30670000","3872.3067.4","1kmN3067E3872",4000,1000000,0,0,0
"4.0.38720000.30680000","3872.3068.4","1kmN3068E3872",4000,1000000,18,9,9
"4.0.38720000.30690000","3872.3069.4","1kmN3069E3872",4000,1000000,18,10,8
"4.0.38720000.30700000","3872.3070.4","1kmN3070E3872",4000,1000000,70,35,35
"4.0.38720000.30710000","3872.3071.4","1kmN3071E3872",4000,1000000,13,6,7
"4.0.38720000.30720000","3872.3072.4","1kmN3072E3872",4000,1000000,91,46,45
"4.0.38720000.30730000","3872.3073.4","1kmN3073E3872",4000,1000000,0,0,0
"4.0.38720000.30740000","3872.3074.4","1kmN3074E3872",4000,1000000,229,120,109
"4.0.38720000.30750000","3872.3075.4","1kmN3075E3872",4000,1000000,165,96,69
"4.0.38720000.30760000","3872.3076.4","1kmN3076E3872",4000,1000000,78,37,41
"4.0.38720000.30770000","3872.3077.4","1kmN3077E3872",4000,1000000,2,1,1
"4.0.38720000.30780000","3872.3078.4","1kmN3078E3872",4000,1000000,52,20,32
"4.0.38720000.30790000","3872.3079.4","1kmN3079E3872",4000,1000000,66,33,33
"4.0.38720000.30800000","3872.3080.4","1kmN3080E3872",4000,1000000,36,20,16
"4.0.38720000.30810000","3872.3081.4","1kmN3081E3872",4000,1000000,36,20,16
"4.0.38720000.30820000","3872.3082.4","1kmN3082E3872",4000,1000000,35,14,21
"4.0.38720000.30830000","3872.3083.4","1kmN3083E3872",4000,1000000,124,64,60
"4.0.38720000.30840000","3872.3084.4","1kmN3084E3872",4000,1000000,116,56,60
"4.0.38720000.30850000","3872.3085.4","1kmN3085E3872",4000,1000000,0,0,0
"4.0.38720000.30860000","3872.3086.4","1kmN3086E3872",4000,1000000,6,1,5
"4.0.38720000.30870000","3872.3087.4","1kmN3087E3872",4000,1000000,163,71,92
"4.0.38720000.30880000","3872.3088.4","1kmN3088E3872",4000,1000000,293,153,140
"4.0.38720000.30890000","3872.3089.4","1kmN3089E3872",4000,1000000,102,52,50
"4.0.38720000.30900000","3872.3090.4","1kmN3090E3872",4000,1000000,424,208,216
"4.0.38720000.30910000","3872.3091.4","1kmN3091E3872",4000,1000000,248,124,124
"4.0.38720000.30920000","3872.3092.4","1kmN3092E3872",4000,1000000,283,145,138
"4.0.38720000.30930000","3872.3093.4","1kmN3093E3872",4000,1000000,93,49,44
"4.0.38720000.30940000","3872.3094.4","1kmN3094E3872",4000,1000000,65,31,34
"4.0.38720000.30950000","3872.3095.4","1kmN3095E3872",4000,1000000,101,53,48
"4.0.38720000.30960000","3872.3096.4","1kmN3096E3872",4000,1000000,249,123,126
"4.0.38720000.30970000","3872.3097.4","1kmN3097E3872",4000,1000000,521,260,261
"4.0.38720000.30980000","3872.3098.4","1kmN3098E3872",4000,1000000,67,32,35
"4.0.38720000.30990000","3872.3099.4","1kmN3099E3872",4000,1000000,122,58,64
"4.0.38720000.31000000","3872.3100.4","1kmN3100E3872",4000,1000000,1096,548,548
"4.0.38720000.31010000","3872.3101.4","1kmN3101E3872",4000,1000000,1132,575,557
"4.0.38720000.31020000","3872.3102.4","1kmN3102E3872",4000,1000000,270,140,130
"4.0.38720000.31030000","3872.3103.4","1kmN3103E3872",4000,1000000,1973,995,978
"4.0.38720000.31040000","3872.3104.4","1kmN3104E3872",4000,1000000,1197,621,576
"4.0.38720000.31050000","3872.3105.4","1kmN3105E3872",4000,1000000,92,44,48
"4.0.38720000.31060000","3872.3106.4","1kmN3106E3872",4000,1000000,144,64,80
"4.0.38720000.31070000","3872.3107.4","1kmN3107E3872",4000,1000000,126,62,64
"4.0.38720000.31080000","3872.3108.4","1kmN3108E3872",4000,1000000,350,174,176
"4.0.38720000.31090000","3872.3109.4","1kmN3109E3872",4000,1000000,237,117,120
"4.0.38720000.31100000","3872.3110.4","1kmN3110E3872",4000,1000000,38,20,18
"4.0.38720000.31110000","3872.3111.4","1kmN3111E3872",4000,1000000,131,62,69
"4.0.38720000.31120000","3872.3112.4","1kmN3112E3872",4000,1000000,271,137,134
"4.0.38720000.31130000","3872.3113.4","1kmN3113E3872",4000,1000000,386,209,177
"4.0.38720000.31140000","3872.3114.4","1kmN3114E3872",4000,1000000,441,217,224
"4.0.38720000.31150000","3872.3115.4","1kmN3115E3872",4000,1000000,75,36,39
"4.0.38720000.31160000","3872.3116.4","1kmN3116E3872",4000,1000000,62,34,28
"4.0.38720000.31170000","3872.3117.4","1kmN3117E3872",4000,1000000,296,146,150
"4.0.38720000.31180000","3872.3118.4","1kmN3118E3872",4000,1000000,404,214,190
"4.0.38720000.31190000","3872.3119.4","1kmN3119E3872",4000,1000000,593,320,273
"4.0.38720000.31200000","3872.3120.4","1kmN3120E3872",4000,1000000,87,47,40
"4.0.38720000.31210000","3872.3121.4","1kmN3121E3872",4000,1000000,122,62,60
"4.0.38720000.31220000","3872.3122.4","1kmN3122E3872",4000,1000000,464,232,232
"4.0.38720000.31230000","3872.3123.4","1kmN3123E3872",4000,1000000,56,28,28
"4.0.38720000.31240000","3872.3124.4","1kmN3124E3872",4000,1000000,206,102,104
"4.0.38720000.31250000","3872.3125.4","1kmN3125E3872",4000,1000000,59,23,36
"4.0.38720000.31260000","3872.3126.4","1kmN3126E3872",4000,1000000,81,40,41
"4.0.38720000.31270000","3872.3127.4","1kmN3127E3872",4000,1000000,139,83,56
"4.0.38720000.31280000","3872.3128.4","1kmN3128E3872",4000,1000000,102,46,56
"4.0.38720000.31290000","3872.3129.4","1kmN3129E3872",4000,1000000,21,8,13
"4.0.38720000.31300000","3872.3130.4","1kmN3130E3872",4000,1000000,191,96,95
"4.0.38720000.31310000","3872.3131.4","1kmN3131E3872",4000,1000000,195,96,99
"4.0.38720000.31320000","3872.3132.4","1kmN3132E3872",4000,1000000,77,35,42
"4.0.38720000.31330000","3872.3133.4","1kmN3133E3872",4000,1000000,40,18,22
"4.0.38720000.31340000","3872.3134.4","1kmN3134E3872",4000,1000000,4,3,1
"4.0.38720000.31350000","3872.3135.4","1kmN3135E3872",4000,1000000,253,122,131
"4.0.38720000.31360000","3872.3136.4","1kmN3136E3872",4000,1000000,0,0,0
"4.0.38720000.31370000","3872.3137.4","1kmN3137E3872",4000,1000000,359,160,199
"4.0.38720000.31380000","3872.3138.4","1kmN3138E3872",4000,1000000,3045,1549,1496
"4.0.38720000.31390000","3872.3139.4","1kmN3139E3872",4000,1000000,2522,1291,1231
"4.0.38720000.31400000","3872.3140.4","1kmN3140E3872",4000,1000000,202,99,103
"4.0.38720000.31410000","3872.3141.4","1kmN3141E3872",4000,1000000,24,12,12
"4.0.38720000.31420000","3872.3142.4","1kmN3142E3872",4000,1000000,94,49,45
"4.0.38720000.31430000","3872.3143.4","1kmN3143E3872",4000,1000000,36,19,17
"4.0.38720000.31440000","3872.3144.4","1kmN3144E3872",4000,1000000,51,25,26
"4.0.38720000.31450000","3872.3145.4","1kmN3145E3872",4000,1000000,50,23,27
"4.0.38720000.31460000","3872.3146.4","1kmN3146E3872",4000,1000000,58,22,36
"4.0.38720000.31470000","3872.3147.4","1kmN3147E3872",4000,1000000,0,0,0
"4.0.38720000.31480000","3872.3148.4","1kmN3148E3872",4000,1000000,22,10,12
"4.0.38720000.31490000","3872.3149.4","1kmN3149E3872",4000,1000000,9,4,5
"4.0.38720000.31500000","3872.3150.4","1kmN3150E3872",4000,1000000,7,3,4
"4.0.38720000.31510000","3872.3151.4","1kmN3151E3872","3550,60740185","858913,742563",0,0,0
"4.0.38730000.30390000","3873.3039.4","1kmN3039E3873","1061,98056736","16258,7185666",0,0,0
"4.0.38730000.30400000","3873.3040.4","1kmN3040E3873","3808,42845991","964795,961619",8,4,4
"4.0.38730000.30410000","3873.3041.4","1kmN3041E3873",4000,1000000,48,28,20
"4.0.38730000.30420000","3873.3042.4","1kmN3042E3873",4000,1000000,27,11,16
"4.0.38730000.30430000","3873.3043.4","1kmN3043E3873",4000,1000000,125,60,65
"4.0.38730000.30440000","3873.3044.4","1kmN3044E3873",4000,1000000,22,9,13
"4.0.38730000.30450000","3873.3045.4","1kmN3045E3873",4000,1000000,8,4,4
"4.0.38730000.30460000","3873.3046.4","1kmN3046E3873",4000,1000000,9,5,4
"4.0.38730000.30470000","3873.3047.4","1kmN3047E3873",4000,1000000,483,248,235
"4.0.38730000.30480000","3873.3048.4","1kmN3048E3873",4000,1000000,7,3,4
"4.0.38730000.30490000","3873.3049.4","1kmN3049E3873",4000,1000000,229,115,114
"4.0.38730000.30500000","3873.3050.4","1kmN3050E3873",4000,1000000,301,157,144
"4.0.38730000.30510000","3873.3051.4","1kmN3051E3873",4000,1000000,331,180,151
"4.0.38730000.30520000","3873.3052.4","1kmN3052E3873",4000,1000000,574,298,276
"4.0.38730000.30530000","3873.3053.4","1kmN3053E3873",4000,1000000,88,43,45
"4.0.38730000.30540000","3873.3054.4","1kmN3054E3873",4000,1000000,137,73,64
"4.0.38730000.30550000","3873.3055.4","1kmN3055E3873",4000,1000000,384,212,172
"4.0.38730000.30560000","3873.3056.4","1kmN3056E3873",4000,1000000,146,70,76
"4.0.38730000.30570000","3873.3057.4","1kmN3057E3873",4000,1000000,40,29,11
"4.0.38730000.30580000","3873.3058.4","1kmN3058E3873",4000,1000000,0,0,0
"4.0.38730000.30590000","3873.3059.4","1kmN3059E3873",4000,1000000,644,322,322
"4.0.38730000.30600000","3873.3060.4","1kmN3060E3873",4000,1000000,498,280,218
"4.0.38730000.30610000","3873.3061.4","1kmN3061E3873",4000,1000000,195,100,95
"4.0.38730000.30620000","3873.3062.4","1kmN3062E3873",4000,1000000,14,6,8
"4.0.38730000.30630000","3873.3063.4","1kmN3063E3873",4000,1000000,59,31,28
"4.0.38730000.30640000","3873.3064.4","1kmN3064E3873",4000,1000000,750,410,340
"4.0.38730000.30650000","3873.3065.4","1kmN3065E3873",4000,1000000,311,158,153
"4.0.38730000.30660000","3873.3066.4","1kmN3066E3873",4000,1000000,0,0,0
"4.0.38730000.30670000","3873.3067.4","1kmN3067E3873",4000,1000000,0,0,0
"4.0.38730000.30680000","3873.3068.4","1kmN3068E3873",4000,1000000,14,6,8
"4.0.38730000.30690000","3873.3069.4","1kmN3069E3873",4000,1000000,525,216,309
"4.0.38730000.30700000","3873.3070.4","1kmN3070E3873",4000,1000000,122,62,60
"4.0.38730000.30710000","3873.3071.4","1kmN3071E3873",4000,1000000,62,31,31
"4.0.38730000.30720000","3873.3072.4","1kmN3072E3873",4000,1000000,23,13,10
"4.0.38730000.30730000","3873.3073.4","1kmN3073E3873",4000,1000000,178,88,90
"4.0.38730000.30740000","3873.3074.4","1kmN3074E3873",4000,1000000,72,35,37
"4.0.38730000.30750000","3873.3075.4","1kmN3075E3873",4000,1000000,31,13,18
"4.0.38730000.30760000","3873.3076.4","1kmN3076E3873",4000,1000000,58,29,29
"4.0.38730000.30770000","3873.3077.4","1kmN3077E3873",4000,1000000,45,21,24
"4.0.38730000.30780000","3873.3078.4","1kmN3078E3873",4000,1000000,42,20,22
"4.0.38730000.30790000","3873.3079.4","1kmN3079E3873",4000,1000000,0,0,0
"4.0.38730000.30800000","3873.3080.4","1kmN3080E3873",4000,1000000,194,105,89
"4.0.38730000.30810000","3873.3081.4","1kmN3081E3873",4000,1000000,105,54,51
"4.0.38730000.30820000","3873.3082.4","1kmN3082E3873",4000,1000000,63,32,31
"4.0.38730000.30830000","3873.3083.4","1kmN3083E3873",4000,1000000,67,33,34
"4.0.38730000.30840000","3873.3084.4","1kmN3084E3873",4000,1000000,35,14,21
"4.0.38730000.30850000","3873.3085.4","1kmN3085E3873",4000,1000000,50,28,22
"4.0.38730000.30860000","3873.3086.4","1kmN3086E3873",4000,1000000,68,35,33
"4.0.38730000.30870000","3873.3087.4","1kmN3087E3873",4000,1000000,157,81,76
"4.0.38730000.30880000","3873.3088.4","1kmN3088E3873",4000,1000000,234,104,130
"4.0.38730000.30890000","3873.3089.4","1kmN3089E3873",4000,1000000,169,86,83
"4.0.38730000.30900000","3873.3090.4","1kmN3090E3873",4000,1000000,132,68,64
"4.0.38730000.30910000","3873.3091.4","1kmN3091E3873",4000,1000000,136,69,67
"4.0.38730000.30920000","3873.3092.4","1kmN3092E3873",4000,1000000,318,181,137
"4.0.38730000.30930000","3873.3093.4","1kmN3093E3873",4000,1000000,24,14,10
"4.0.38730000.30940000","3873.3094.4","1kmN3094E3873",4000,1000000,46,25,21
"4.0.38730000.30950000","3873.3095.4","1kmN3095E3873",4000,1000000,106,53,53
"4.0.38730000.30960000","3873.3096.4","1kmN3096E3873",4000,1000000,13,5,8
"4.0.38730000.30970000","3873.3097.4","1kmN3097E3873",4000,1000000,219,117,102
"4.0.38730000.30980000","3873.3098.4","1kmN3098E3873",4000,1000000,107,50,57
"4.0.38730000.30990000","3873.3099.4","1kmN3099E3873",4000,1000000,60,31,29
"4.0.38730000.31000000","3873.3100.4","1kmN3100E3873",4000,1000000,488,249,239
"4.0.38730000.31010000","3873.3101.4","1kmN3101E3873",4000,1000000,1102,559,543
"4.0.38730000.31020000","3873.3102.4","1kmN3102E3873",4000,1000000,1666,832,834
"4.0.38730000.31030000","3873.3103.4","1kmN3103E3873",4000,1000000,1255,628,627
"4.0.38730000.31040000","3873.3104.4","1kmN3104E3873",4000,1000000,94,46,48
"4.0.38730000.31050000","3873.3105.4","1kmN3105E3873",4000,1000000,454,221,233
"4.0.38730000.31060000","3873.3106.4","1kmN3106E3873",4000,1000000,95,50,45
"4.0.38730000.31070000","3873.3107.4","1kmN3107E3873",4000,1000000,93,41,52
"4.0.38730000.31080000","3873.3108.4","1kmN3108E3873",4000,1000000,322,164,158
"4.0.38730000.31090000","3873.3109.4","1kmN3109E3873",4000,1000000,212,97,115
"4.0.38730000.31100000","3873.3110.4","1kmN3110E3873",4000,1000000,516,254,262
"4.0.38730000.31110000","3873.3111.4","1kmN3111E3873",4000,1000000,341,166,175
"4.0.38730000.31120000","3873.3112.4","1kmN3112E3873",4000,1000000,290,149,141
"4.0.38730000.31130000","3873.3113.4","1kmN3113E3873",4000,1000000,686,355,331
"4.0.38730000.31140000","3873.3114.4","1kmN3114E3873",4000,1000000,224,114,110
"4.0.38730000.31150000","3873.3115.4","1kmN3115E3873",4000,1000000,22,10,12
"4.0.38730000.31160000","3873.3116.4","1kmN3116E3873",4000,1000000,53,26,27
"4.0.38730000.31170000","3873.3117.4","1kmN3117E3873",4000,1000000,92,46,46
"4.0.38730000.31180000","3873.3118.4","1kmN3118E3873",4000,1000000,750,365,385
"4.0.38730000.31190000","3873.3119.4","1kmN3119E3873",4000,1000000,520,250,270
"4.0.38730000.31200000","3873.3120.4","1kmN3120E3873",4000,1000000,334,162,172
"4.0.38730000.31210000","3873.3121.4","1kmN3121E3873",4000,1000000,236,128,108
"4.0.38730000.31220000","3873.3122.4","1kmN3122E3873",4000,1000000,821,459,362
"4.0.38730000.31230000","3873.3123.4","1kmN3123E3873",4000,1000000,202,96,106
"4.0.38730000.31240000","3873.3124.4","1kmN3124E3873",4000,1000000,88,45,43
"4.0.38730000.31250000","3873.3125.4","1kmN3125E3873",4000,1000000,51,24,27
"4.0.38730000.31260000","3873.3126.4","1kmN3126E3873",4000,1000000,48,24,24
"4.0.38730000.31270000","3873.3127.4","1kmN3127E3873",4000,1000000,124,54,70
"4.0.38730000.31280000","3873.3128.4","1kmN3128E3873",4000,1000000,743,389,354
"4.0.38730000.31290000","3873.3129.4","1kmN3129E3873",4000,1000000,553,285,268
"4.0.38730000.31300000","3873.3130.4","1kmN3130E3873",4000,1000000,2,1,1
"4.0.38730000.31310000","3873.3131.4","1kmN3131E3873",4000,1000000,28,12,16
"4.0.38730000.31320000","3873.3132.4","1kmN3132E3873",4000,1000000,277,131,146
"4.0.38730000.31330000","3873.3133.4","1kmN3133E3873",4000,1000000,472,224,248
"4.0.38730000.31340000","3873.3134.4","1kmN3134E3873",4000,1000000,466,228,238
"4.0.38730000.31350000","3873.3135.4","1kmN3135E3873",4000,1000000,1201,639,562
"4.0.38730000.31360000","3873.3136.4","1kmN3136E3873",4000,1000000,22,9,13
"4.0.38730000.31370000","3873.3137.4","1kmN3137E3873",4000,1000000,162,80,82
"4.0.38730000.31380000","3873.3138.4","1kmN3138E3873",4000,1000000,1282,621,661
"4.0.38730000.31390000","3873.3139.4","1kmN3139E3873",4000,1000000,1158,573,585
"4.0.38730000.31400000","3873.3140.4","1kmN3140E3873",4000,1000000,57,26,31
"4.0.38730000.31410000","3873.3141.4","1kmN3141E3873",4000,1000000,11,7,4
"4.0.38730000.31420000","3873.3142.4","1kmN3142E3873",4000,1000000,97,54,43
"4.0.38730000.31430000","3873.3143.4","1kmN3143E3873",4000,1000000,67,33,34
"4.0.38730000.31440000","3873.3144.4","1kmN3144E3873",4000,1000000,69,31,38
"4.0.38730000.31450000","3873.3145.4","1kmN3145E3873",4000,1000000,1,0,1
"4.0.38730000.31460000","3873.3146.4","1kmN3146E3873",4000,1000000,51,27,24
"4.0.38730000.31470000","3873.3147.4","1kmN3147E3873",4000,1000000,22,10,12
"4.0.38730000.31480000","3873.3148.4","1kmN3148E3873",4000,1000000,79,48,31
"4.0.38730000.31490000","3873.3149.4","1kmN3149E3873",4000,1000000,12,5,7
"4.0.38730000.31500000","3873.3150.4","1kmN3150E3873",4000,1000000,12,5,7
"4.0.38730000.31510000","3873.3151.4","1kmN3151E3873","4494,07868057","786114,274119",0,0,0
"4.0.38730000.31520000","3873.3152.4","1kmN3152E3873","1104,42625048","50091,8605896",0,0,0
"4.0.38740000.30400000","3874.3040.4","1kmN3040E3874","3672,83807282","732296,937194",0,0,0
"4.0.38740000.30410000","3874.3041.4","1kmN3041E3874",4000,1000000,22,7,15
"4.0.38740000.30420000","3874.3042.4","1kmN3042E3874",4000,1000000,2,1,1
"4.0.38740000.30430000","3874.3043.4","1kmN3043E3874",4000,1000000,125,60,65
